Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
"Egg-Free, Dairy-Free, Nut-Free Cake",4.7,8,45 mins,"['1 ½ cups all-purpose flour', '1 cup white sugar', '¼ cup unsweetened cocoa powder', '1 teaspoon baking soda', '½ teaspoon salt', '5 tablespoons vegetable oil', '1 tablespoon white vinegar', '1 teaspoon vanilla extract', '1 cup cold water', '½ cup semi-sweet chocolate chips']",This egg-free cake recipe is so good — you'll never miss the dairy products! Check a health food store for non-dairy chocolate chips.,"['Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8-inch baking pan.', 'Combine flour, sugar, cocoa powder, baking soda, and salt in a large bowl; mix well using a fork. Stir in oil, vinegar, and vanilla until thoroughly moistened. Pour in cold water and mix until batter is smooth. Stir in chocolate chips. Pour batter into the prepared pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 35 minutes. Cool on a wire rack.']","{'Calories': '319', 'Fat': '12g', 'Carbs': '51g', 'Protein': '4g'}"
Beef Egg Rolls,4.6,16,55 mins,"['1 pound lean ground beef', '1 medium onion, thinly sliced', '½ teaspoon dried minced garlic', '1 teaspoon ground ginger', '4 tablespoons soy sauce, divided', '4 tablespoons dry sherry, divided', '1 teaspoon salt, divided', '1 teaspoon ground black pepper, divided', '1 tablespoon vegetable oil', '1 large head cabbage, finely shredded', '¼ cup water', '1 teaspoon white sugar', '2 quarts vegetable oil for deep frying', '16  egg roll wrappers']","Beef egg rolls stuffed with ground beef, cabbage, and delicious seasonings, then fried until crispy. This personal creation of mine goes well with any Chinese dish. The sherry makes it better.","['Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease. Add onion, garlic, ginger, and 1/2 of each of the following ingredients: soy sauce, sherry, salt, and pepper. Sauté just until onion is tender, 4 to 5 minutes. Transfer to a bowl.', 'Heat 1 tablespoon oil in the same skillet over medium heat. Add cabbage, water, and sugar, plus remaining soy sauce, sherry, salt, and pepper. Cook and stir until cabbage is crisp-tender, about 5 minutes. Return beef mixture to the pan; cook and stir until well combined and heated through, 2 to 3 minutes. Remove from the heat.', 'Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C).', 'While the oil is heating, lay one egg roll wrapper out like a diamond. Place approximately 1/4 cup filling across the center going from left to right. Moisten the top two edges with water. Fold the bottom corner up and over the filling, fold both sides in toward the center, and roll upwards to seal. Repeat to make remaining egg rolls.', 'Fry a few egg rolls at a time in the preheated oil until golden brown, 2 to 3 minutes per batch. Drain on paper towels and serve hot.']","{'Calories': '267', 'Fat': '16g', 'Carbs': '22g', 'Protein': '9g'}"
Egg in a Hole,4.7,1,5 mins,"['1 ½ teaspoons bacon grease', '1 slice bread', '1  egg', 'salt and ground black pepper to taste']",Egg in the hole makes a delicious breakfast! A runny yolk egg cooked in the center of a piece of toast and eaten with a fork is a great way to enjoy an egg in a slightly different way. My kids feel fancy when eating these.,"['Melt bacon grease in a nonstick pan over low heat.', 'Cut a 2-inch hole in the center of bread slice; place in the hot skillet and cook until lightly toasted, about 2 minutes. Flip bread and crack egg into the hole; season with salt and pepper. Continue to cook until egg is cooked and mostly firm; flip again and cook 1 minute more. Serve immediately.']","{'Calories': '231', 'Fat': '16g', 'Carbs': '13g', 'Protein': '9g'}"
Egg Casserole,4.4,6,30 mins,"['12  eggs, beaten', '1 ½ pounds ground breakfast sausage', '16 ounces shredded Cheddar cheese, divided', '7 slices white bread, torn into pieces']","I have been making this egg casserole for 13 years, primarily for Christmas brunch gatherings. It includes eggs, bread, cheese and sausage. It also works great with bacon.","['Preheat oven to 350 degrees F (175 degrees C).', 'Brown sausage in a large skillet over medium-high heat. Drain off grease, and set aside to cool. Pour the eggs into a lightly greased 9x13 inch baking dish.', 'In a separate large bowl, combine the sausage, bread and 12 ounces of the cheese. Mix well and pour this into the egg mixture. Top with the remaining 4 ounces of cheese and cover with foil.', 'Bake at 350 degrees F (175 degrees C) for 15 minutes, uncover, and bake until casserole is golden brown and bubbly.']","{'Calories': '991', 'Fat': '81g', 'Carbs': '17g', 'Protein': '48g'}"
Egg-Free Brownies,4.0,20,55 mins,"['1 cup water', '2 ⅓ cups all-purpose flour, divided', '½ cup unsalted butter', '⅔ cup unsweetened cocoa powder', '2 cups white sugar', '1 teaspoon vanilla extract', '2 ½ teaspoons baking powder', '½ teaspoon salt', '½ cup chopped walnuts (Optional)']",Did you know you can make brownies without eggs? These chocolate brownies with walnuts are simple to make and can easily be made vegan by using plant-based butter instead of regular butter.,"['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch pan.', 'Combine water and 1/3 cup flour in a heavy saucepan over medium heat; cook, whisking constantly, until thick. Transfer mixture to a large mixing bowl and set aside to cool, 15 to 20 minutes.', 'Melt butter in a small saucepan over medium heat. Mix in cocoa until smooth; remove from the heat and let cool, about 15 minutes.', 'Combine remaining 2 cups flour, baking powder, and salt in a small bowl, set aside. Add sugar and vanilla to cooled flour-water mixture; mix with an electric mixer until well combined.', 'Add cocoa mixture and mix until incorporated. Add dry flour mixture and stir until just blended; fold in walnuts.', 'Spread evenly in the prepared pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, 20 to 25 minutes. Cool before cutting into 20 squares.']","{'Calories': '179', 'Fat': '5g', 'Carbs': '33g', 'Protein': '2g'}"
Amy's Garlic Egg Chicken,4.5,4,4 hrs 45 mins,"['1  egg yolk', '6 cloves garlic, chopped', '4  skinless, boneless chicken breast halves', '6 tablespoons butter', '1 cup dry bread crumbs', '1 cup grated Parmesan cheese', '1 tablespoon dried parsley', '1 tablespoon garlic powder', '½ tablespoon salt', '1 tablespoon ground black pepper']","An easy dish for garlic lovers. Golden looking, golden tasting!","['In a glass dish, beat egg yolk with garlic. Place chicken in egg mixture, and turn to coat. Cover dish and refrigerate for at least 4 hours, or overnight if possible.', 'Preheat oven to 400 degrees F (200 degrees C).', 'Melt butter and pour into the bottom of a 9x13 inch baking dish. Mix together the bread crumbs, Parmesan cheese, parsley, garlic powder, salt and pepper. Dip marinated chicken in crumb mixture. Place coated chicken in baking dish, and pour remaining egg mixture over.', 'Bake in preheated oven for 15 to 20 minutes on each side, or until chicken is no longer pink and juices run clear.']","{'Calories': '508', 'Fat': '29g', 'Carbs': '25g', 'Protein': '38g'}"
One-Egg Egg Drop Soup,4.5,4,20 mins,"['1  egg', '¼ teaspoon salt', '2 tablespoons tapioca flour', '¼ cup cold water', '4 cups chicken broth', '⅛ teaspoon ground ginger', '⅛ teaspoon minced fresh garlic', '2 tablespoons chopped green onion', '¼ teaspoon Asian (toasted) sesame oil (Optional)', '1 pinch white pepper (Optional)']","Trust me, one egg is enough to make a sumptuous Egg Drop Soup! The problem I find with egg drop soup recipes is that the timing for the egg drop is never right, so the egg never separates into true ribbons. My Chinese father taught me the trick to this soup, which I now pass to you!","['Beat the egg and salt together in a bowl until well mixed. In a separate bowl, combine the tapioca flour with the cold water and stir to dissolve.', 'Bring the chicken broth, ginger, and garlic to a full rolling boil, remove from the heat, and stir in the dissolved tapioca starch. Boil until the soup has thickened and is no longer cloudy, about 1 minute; remove from the heat. Pour the egg into the soup in a thin line, and gently stir the egg in a figure 8 shape, making sure not to overmix the egg too much. Sprinkle the soup with the chopped onions, sesame oil, and white pepper, and serve.']","{'Calories': '51', 'Fat': '2g', 'Carbs': '5g', 'Protein': '3g'}"
Fried Cabbage and Egg Noodles,4.5,4,20 mins,"['1 (16 ounce) package egg noodles', '1 stick butter', '1 medium head green cabbage, chopped', 'salt and pepper to taste']","This is a German recipe for fried cabbage and noodles that belonged to my grandmother. It's cabbage that is lightly browned in butter and tossed with egg noodles for a wonderful, hearty, and fast dish.","['Bring a large pot of lightly salted water to a boil. Add egg noodles and cook until the pasta is tender yet firm to the bite, about 5 minutes; drain.', 'Meanwhile, melt butter in a large skillet over low heat. Add cabbage and season with salt and pepper. Cover and cook until the cabbage begins to brown, 5 to 7 minutes. Add cooked noodles; cook and stir until the noodles begin to brown, about 5 minutes.']","{'Calories': '690', 'Fat': '28g', 'Carbs': '93g', 'Protein': '19g'}"
Egg and Sausage Casserole,4.6,12,50 mins,"['1 pound pork sausage', '8  eggs, beaten', '2 cups shredded mozzarella cheese', '2 cups shredded Cheddar cheese', '1 teaspoon dried oregano', '1 (8 ounce) package refrigerated crescent roll dough']","This egg and sausage casserole is easy to make and always a hit. The recipe was given to me by a friend several years ago. Co-workers beg for it, and it's my husband's favorite!","['Preheat the oven to 325 degrees F (165 degrees C). Lightly grease a 9x13-inch baking dish.', 'Cook sausage in a large, deep skillet over medium-high heat, until evenly browned, 7 to 9 minutes. Drain and crumble into small pieces.', 'Mix beaten eggs, mozzarella, Cheddar, and oregano together in a large bowl.', 'Line the bottom of the prepared baking dish with crescent roll dough, then sprinkle crumbled sausage over top. Pour egg mixture over sausage.', 'Bake in the preheated oven until a knife inserted into the center comes out clean, 25 to 30 minutes.']","{'Calories': '341', 'Fat': '25g', 'Carbs': '9g', 'Protein': '20g'}"
Egg and Hash Brown Pie,4.4,8,1 hr 5 mins,"['6 slices bacon', '5  eggs', '½ cup milk', '3 cups frozen hash brown potatoes, thawed', '⅓ cup chopped green onions', '1 ½ cups shredded Cheddar cheese, divided']","Not only is this breakfast casserole with hash browns and bacon easy to make and great tasting, but it's also pleasing to the eyes with its shades of golden brown, yellow, and green. This dish is great served with sliced fruit and toast or muffins. You may substitute chopped cooked ham for the bacon if you wish.","['Place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, crumble, and set aside.', 'Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 7x11-inch baking dish.', 'In a large bowl, beat together eggs and milk. Stir in bacon, hash browns, green onions, and 1 cup shredded Cheddar cheese. Pour into the prepared baking dish.', 'Bake in the preheated oven for 25 to 35 minutes, or until a knife inserted in the center comes out clean. Sprinkle remaining Cheddar cheese on top, and continue baking for 3 to 4 minutes, or until cheese is melted. Remove from the oven, and let sit 5 minutes before serving.']","{'Calories': '223', 'Fat': '17g', 'Carbs': '12g', 'Protein': '14g'}"
Fried Egg Sandwich,4.5,4,15 mins,"['2 teaspoons butter', '4 large eggs', '4 slices processed American cheese', '8 slices toasted white bread', 'salt and pepper to taste', '2 tablespoons mayonnaise', '2 tablespoons ketchup']",This fried egg sandwich makes great comfort food! You can use any type of bread or cheese that you want for this quick and easy breakfast. Serve with fruit and juice and/or milk for a full breakfast.,"['Gather the ingredients.', 'Melt butter over medium-high heat in a large skillet. Crack eggs into the pan and cook to desired firmness.', 'Just before eggs are cooked, place a slice of cheese over each egg; continue to cook until cheese has melted.', 'Transfer each egg to a toasted slice of bread. Season eggs with salt and pepper.', 'Spread mayonnaise and ketchup on remaining slices of bread and cover eggs with bread to make 4 sandwiches. Serve warm.']","{'Calories': '386', 'Fat': '23g', 'Carbs': '28g', 'Protein': '17g'}"
Sausage Egg Casserole,4.7,12,9 hrs 40 mins,"['¾ pound ground pork sausage', '1 tablespoon butter', '4  green onions, chopped', '½ pound fresh mushrooms, sliced', '10  eggs, beaten', '1 (16 ounce) container low-fat cottage cheese', '1 pound Monterey Jack cheese, shredded', '2 (4 ounce) cans diced green chile peppers, drained', '1 cup all-purpose flour', '1 teaspoon baking powder', '½ teaspoon salt', '⅓ cup butter, melted']","Assemble the ingredients the night before, and bake this casserole in the morning. Stand back and wait for the compliments. I've made it with fat free cottage cheese, egg substitute, and reduced fat sausage; the taste is still wonderful!","['Place sausage in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, and set aside. Melt butter in skillet, and cook and stir the green onions and mushrooms until tender.', 'In a large bowl, mix the eggs, cottage cheese, Monterey Jack cheese, and chiles. Stir in the sausage, green onions, and mushrooms. Cover, and refrigerate overnight.', 'Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.', 'In a bowl, sift together the flour, baking powder, and salt. Blend in the melted butter. Stir the flour mixture into the egg mixture. Pour into the prepared baking dish.', 'Bake 40 to 50 minutes in the preheated oven, or until lightly brown. Let stand 10 minutes before serving.']","{'Calories': '408', 'Fat': '29g', 'Carbs': '12g', 'Protein': '25g'}"
Sausage Egg Muffins,4.5,12,30 mins,"['½ pound ground pork sausage', '12 large eggs, beaten', '1 small onion, chopped', '½ (4 ounce) can chopped green chile peppers, drained', '1 teaspoon garlic powder', 'salt and pepper to taste']","These sausage and egg muffins are a quick and easy morning or afternoon snack. I use standard muffin pans and fill them 1⁄3 full, but you can adjust the amount of filling to suit your taste.","['Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 12-cup muffin tin.', 'Cook sausage in a large skillet over medium-high heat until browned and crumbly, 5 to 7 minutes. Drain.', 'Combine eggs, onion, and chile peppers in a large bowl. Add sausage, salt, and pepper; mix until well combined. Spoon 1/4 cup sausage mixture into each of the prepared muffin cups.', 'Bake in the preheated oven until eggs are set and a toothpick inserted into the center comes out clean, 15 to 20 minutes.']","{'Calories': '155', 'Fat': '13g', 'Carbs': '2g', 'Protein': '9g'}"
"Sausage, Egg, and Cheese Scramble",4.4,4,15 mins,"['6 links pork sausage', '6 large eggs', '¾ cup milk', '¾ cup shredded sharp Cheddar cheese']",This is a tasty scramble of sausage and eggs with cheese. Great for a Sunday morning family breakfast! You may use as much of whatever type of cheese you prefer for this recipe.,"['Gather all ingredients.', 'Place sausage in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain and chop into bite-sized pieces; set aside.', 'While sausage is cooking, beat eggs and milk together.', 'Pour eggs into a griddle. Add cheese and cook until eggs are set.', 'Stir in sausage and serve warm.']","{'Calories': '313', 'Fat': '23g', 'Carbs': '3g', 'Protein': '23g'}"
Mom's Baked Egg Muffins,4.6,6,40 mins,"['6 slices bacon', '1 ½ tablespoons butter, melted', '1 ½ tablespoons maple syrup', '6 slices bread, crusts removed', '6  eggs', 'salt and black pepper to taste', '6 tablespoons heavy cream', '6 tablespoons shredded Cheddar cheese, or as desired']",Easy breakfast...that is so yummy!!,"['Place the bacon in a large, deep skillet, and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel-lined plate; crumble and set aside.', 'Preheat an oven to 375 degrees F (190 degrees C). Grease muffin cups.', 'Combine the melted butter and maple syrup in a small bowl. Flatten a piece of bread with a rolling pin. Brush the bread with the butter mixture. Line the muffin cup with the flattened bread. Repeat with the remaining bread slices. Bake in a preheated oven until the bread crisps, about 3 to 5 minutes.', 'Sprinkle crumbled bacon into the bottom of the toast cups. Crack an egg into each cup. Season with salt and pepper to taste. Top each egg with 1 tablespoon of heavy cream and 1 tablespoon cheese. Bake until the whites are just set, about 10 to 14 minutes or until the eggs are cooked to your taste.']","{'Calories': '311', 'Fat': '21g', 'Carbs': '17g', 'Protein': '14g'}"
Egg and Hash Brown Casserole,4.5,8,1 hr 20 mins,"['1 (20 ounce) package frozen hash brown potatoes, thawed', '⅓ cup vegetable oil', '1 (12 ounce) package bulk pork breakfast sausage', '6  eggs, beaten', '1 cup sliced fresh mushrooms', '¾ cup shredded pepper jack cheese', '¾ cup shredded Swiss cheese', '½ cup milk', '1 tablespoon chopped fresh parsley', '1 teaspoon garlic salt', '¼ teaspoon ground black pepper', '4 thin slices  tomato', '1 ½ teaspoons chopped fresh parsley']",This is a wonderful egg and hash brown breakfast casserole that will feed many. We have it every year for Christmas brunch. The family will not allow me to make anything else. I pair it with my French toast strata and everyone is full and happy. It's also very easy to increase the portion by putting it into a 9x13-inch dish and just adding extra ingredients.,"['Preheat oven to 425 degrees F (220 degrees C).', 'Toss potatoes with vegetable oil in a bowl until potatoes are well coated. Press potatoes into a 10-inch pie pan to create a crust.', 'Bake potatoes in the preheated oven until golden brown, about 30 minutes. Remove pan from oven and reduce heat to 350 degrees F (175 degrees C).', 'While potatoes are baking, heat a large skillet over medium-high heat and stir in sausage. Cook and stir until sausage is crumbly, evenly browned, and no longer pink. Drain and discard any excess grease. Combine sausage with eggs, mushrooms, pepper jack cheese, Swiss cheese, milk, 1 tablespoon parsley, garlic salt, and black pepper in a large bowl. Pour egg mixture into the prepared potato crust.', 'Bake in the oven until eggs are set, about 25 minutes. Arrange tomato slices over eggs and sprinkle the remaining 1 1/2 teaspoons parsley on top. Return to the oven and continue baking until tomatoes soften, about 5 minutes more.']","{'Calories': '386', 'Fat': '29g', 'Carbs': '15g', 'Protein': '17g'}"
Magical Egg Salad,4.3,2,1 hr,"['5  eggs', '3 tablespoons mayonnaise', '2 tablespoons Dijon mustard', '2 tablespoons sweet pickle relish', '1 teaspoon steak sauce', '¼ teaspoon paprika', '¼ teaspoon dried dill weed', 'salt and ground black pepper to taste', '1 pinch cayenne pepper']",Creamy egg salad with a little tang.,"['Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel.', 'Chop eggs and transfer to a large bowl.', 'Stir mayonnaise, Dijon mustard, sweet pickle relish, steak sauce, paprika, and dill into eggs until well mixed; season with salt and black pepper. Cover and refrigerate until chilled, if desired.', 'Sprinkle with cayenne pepper before serving.']","{'Calories': '366', 'Fat': '29g', 'Carbs': '11g', 'Protein': '16g'}"
Zippy Egg Casserole,4.7,12,9 hrs 35 mins,"['1 pound pork sausage', '1 (5.5 ounce) package seasoned croutons', '1 ½ cups shredded Cheddar cheese', '1 cup shredded Swiss cheese', '1 cup shredded pepper Jack cheese', '8 large eggs', '1 pint half-and-half cream', '1 ½ cups milk', '1 ½ teaspoons dry mustard', '1 tablespoon minced onion', 'salt and pepper to taste']",This egg casserole recipe has a little zip to it due to the pepper Jack cheese! It's a big hit at church brunches.,"['Place sausage in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, crumble, and set aside.', 'In a lightly greased 9x13-inch baking dish, arrange croutons in a single layer. Layer with Cheddar cheese, Swiss cheese, and pepper Jack cheese. Top with the cooked sausage.', 'In a large bowl, beat together eggs, half-and-half, milk, mustard, onion, salt, and pepper. Pour into the dish over sausage. Cover and refrigerate, 8 hours or overnight.', 'The next morning, preheat the oven to 350 degrees F (175 degrees C).', 'Bake in the preheated oven for 45 to 60 minutes. Let sit for 20 minutes before serving.']","{'Calories': '416', 'Fat': '31g', 'Carbs': '13g', 'Protein': '22g'}"
Scrambled Egg Muffin Cups,4.6,12,45 mins,"['½ pound bulk pork sausage', '12  eggs', '½ cup chopped onion', '½ cup chopped green bell pepper, or to taste', '½ teaspoon salt', '¼ teaspoon ground black pepper', '¼ teaspoon garlic powder', '½ cup shredded Cheddar cheese']","These egg muffins are made with lots of sausage and Cheddar cheese and will make a filling and fun treat at your next brunch. They're pretty, hearty, and fun to serve.","['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Lightly grease 12 muffin cups or line with paper muffin liners.', 'Heat a large skillet over medium-high heat. Stir in sausage and cook until crumbly, evenly browned, and no longer pink, 10 to 15 minutes. Drain off grease.', 'Beat eggs in a large bowl. Stir in onion, green pepper, salt, pepper, and garlic powder. Mix in sausage and Cheddar cheese.', 'Spoon into the prepared muffin cups.', 'Bake in the preheated oven until a knife inserted near the center comes out clean, 20 to 25 minutes.', 'Serve and enjoy!']","{'Calories': '143', 'Fat': '11g', 'Carbs': '2g', 'Protein': '10g'}"
Sausage and Egg Casserole,4.6,8,9 hrs 35 mins,"['1 pound bulk pork sausage', '8 large eggs', '2 ½ cups milk', '1 teaspoon salt', '1 teaspoon ground mustard', '6 slices white bread, cut into 1/2-inch cubes', '1 cup shredded Cheddar cheese', 'cooking spray']","This sausage and egg casserole recipe is the perfect combination of eggs, sausage, bread, and cheese. It's tender and delicious, and the family likes it!","['Gather all ingredients.', 'Heat a large skillet over medium-high heat and stir in sausage. Cook and stir until sausage is crumbly, evenly browned, and no longer pink, about 10 minutes. Drain and discard any excess grease.', 'Beat eggs in a large bowl; stir in milk, salt, and mustard.', 'Fold bread cubes, Cheddar cheese, and sausage into the egg mixture.', 'Pour into a lightly greased 7x11-inch baking dish. Cover and refrigerate, 8 hours to overnight.', 'Preheat the oven to 350 degrees F (175 degrees C). Remove casserole from the refrigerator 30 minutes before baking.', 'Bake in the preheated oven until a knife inserted near the center comes out clean, about 40 minutes.']","{'Calories': '363', 'Fat': '24g', 'Carbs': '14g', 'Protein': '22g'}"
Scrambled Egg Brunch Bread,4.7,6,55 mins,"['2 (8 ounce) cans refrigerated crescent rolls', '4 ounces thinly sliced deli ham, chopped', '4 ounces cream cheese, softened', '½ cup milk', '1  egg, separated', '7  eggs', '¼ teaspoon salt', 'ground black pepper to taste', '¼ cup chopped red bell pepper', '2 tablespoons chopped green onion', '1 teaspoon butter', '½ cup shredded Cheddar cheese']","Perfect for brunch, this beautiful braid is filled with eggs, ham, and cheese. Using refrigerated crescent rolls makes it a snap to prepare.","['Preheat oven to 375 degrees F (190 degrees C). Lightly grease a baking sheet.', 'Unroll each tube of crescent dough, but do not separate rectangles. Place side-by-side on prepared baking sheet with long sides touching; press and seal seams and perforations. Arrange ham lengthwise down center third of rectangle.', 'Beat cream cheese and milk in a bowl. Separate one egg, placing egg white aside. Stir egg yolk, remaining eggs, salt, and pepper into cream cheese mixture; fold in red pepper and onion.', 'Melt butter in a large skillet over medium heat; pour egg mixture into skillet and cook until just set, about 5 minutes. Remove from heat and spoon eggs over ham; sprinkle with Cheddar cheese.', 'Cut 1-inch-wide strips towards the center to within 1/2-inch of filling on each long side of dough. Starting at one end, fold alternating strips at an angle across filling; pinch ends to seal and tuck under. Beat reserved egg white and brush over dough.', 'Bake in preheated oven until golden, 25 to 28 minutes.']","{'Calories': '558', 'Fat': '37g', 'Carbs': '32g', 'Protein': '22g'}"
Christmas Morning Egg Casserole,4.4,8,9 hrs 20 mins,"['cooking spray (such as Pam®)', '2 cups diced cooked ham', '2 tablespoons butter, or as needed', '7 slices bread, crusts removed', '½ pound American cheese, cubed', '3 cups milk', '6  eggs, beaten', '¾ teaspoon dry mustard', '¾ teaspoon salt']",This was the casserole my mom made every year for Christmas morning.,"['Gather all ingredients.', 'Spray a 9x13-inch casserole dish with cooking spray.', 'Spread ham into the bottom of prepared casserole dish. Butter one side of each bread slice; cut slices into cubes. Arrange buttered bread cubes atop ham; layer American cheese over bread cubes.', 'Whisk milk, eggs, mustard powder, and salt together in a bowl; pour over American cheese layer. Cover dish with aluminum foil and refrigerate 8 hours or overnight.', 'Preheat oven to 350 degrees F (175 degrees C). Remove aluminum foil from casserole.', 'Bake in the preheated oven until cheese is melted and eggs are set in the middle, about 1 hour.']","{'Calories': '374', 'Fat': '24g', 'Carbs': '16g', 'Protein': '22g'}"
Christmas Green Chile Egg Casserole,4.7,8,1 hr 25 mins,"['½ cup butter', '1 (16 ounce) package cottage cheese', '1 pound shredded Monterey Jack cheese', '2 (4 ounce) cans diced green chiles', '10  eggs', '¼ cup all-purpose flour', '1 teaspoon baking powder', '½ teaspoon salt']","My family demands this casserole every Christmas morning. I've only once dared to try something new, and this was sorely missed! Make this for a brunch and I guarantee you will get recipe requests. This family-favorite is not very healthy, so it only comes out for special occasions.","['Gather all ingredients.', 'Preheat oven to 400 degrees F (200 degrees C). Set butter in a 6x10-inch casserole dish; place dish in the preheating oven until butter is melted.', 'Mix cottage cheese, Jack cheese, green chiles, eggs, flour, baking powder, and salt in a large bowl using an electric hand mixer. Pour mixture into the melted butter in the casserole dish.', 'Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C); bake until middle of casserole is set, about 50 more minutes. Allow to stand for 10 minutes before serving.']","{'Calories': '481', 'Fat': '38g', 'Carbs': '7g', 'Protein': '30g'}"
Light Avocado Egg Salad,4.5,4,40 mins,"['8  eggs', '½  avocado, peeled and pitted', '¼ cup chopped green onion (Optional)', '1 teaspoon prepared yellow mustard', '¼ teaspoon paprika', 'salt and ground black pepper to taste']","I love egg salad but was always looking for a healthier option for the mayo. I had an abundance of avocados one day and decided to experiment. I'm sure glad I did! Serve with crackers, bread, or just by itself. Hope you enjoy this recipe as much as I do!","['Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel. Chop eggs and transfer to a salad bowl.', 'Mash avocado in a separate bowl using a fork. Mix mashed avocado, yellow mustard, and paprika into eggs until thoroughly combined. Season with salt and black pepper.']","{'Calories': '187', 'Fat': '14g', 'Carbs': '4g', 'Protein': '13g'}"
Spinach and Mushroom Egg Casserole,4.8,8,45 mins,"['1 teaspoon butter', '10  eggs', '1 (16 ounce) package cottage cheese', '1 (16 ounce) package shredded Monterey Jack cheese', '½ cup butter, melted', '½ cup all-purpose flour', '1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry', '2 (4.5 ounce) cans sliced mushrooms, drained', '1 teaspoon baking powder', '½ teaspoon salt']",A nice meatless breakfast or brunch main course.,"['Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with 1 teaspoon butter.', 'Whisk eggs in a large bowl. Add cottage cheese, Monterey Jack cheese, 1/2 cup melted butter, flour, spinach, mushrooms, baking powder, and salt; mix. Pour egg mixture into prepared baking dish.', 'Bake in the preheated oven until eggs are set and a knife inserted into the center comes out clean, about 35 minutes.']","{'Calories': '509', 'Fat': '38g', 'Carbs': '12g', 'Protein': '31g'}"
Easy Egg Fried Rice,4.5,4,20 mins,"['1 cup water', '2 tablespoons soy sauce', '½ teaspoon salt', '1 cup uncooked instant rice', '1 teaspoon vegetable oil', '½  onion, finely chopped', '½ cup sliced green beans or peas', '1 large egg, lightly beaten', '¼ teaspoon ground black pepper']",This egg fried rice is quick to make with instant rice. It's easy to customize with other vegetables or leftover roast meat.,"['Gather all ingredients.', 'Bring water, soy sauce, and salt to a boil in a medium saucepan. Stir in instant rice and remove from heat. Cover and let stand for 5 minutes.', 'Heat oil in a medium skillet or wok over medium heat. Sauté onions and green beans or peas in hot oil for 2 to 3 minutes.', 'Pour in beaten egg and fry for 2 minutes, scrambling egg while it cooks.', 'Add cooked rice to egg mixture; mix well. Season with pepper.']","{'Calories': '106', 'Fat': '3g', 'Carbs': '16g', 'Protein': '4g'}"
"Spinach, Tomato, and Feta Egg White Omelette",4.7,1,15 mins,"['cooking spray', '3  egg whites', 'salt and ground black pepper to taste', '6  cherry tomatoes, sliced', '¼ cup chopped fresh spinach, or more to taste', '2 tablespoons crumbled feta cheese']","This spinach, tomato, and feta egg white omelet recipe yields an easy and filling egg white omelet stuffed with veggies and tangy feta cheese.","['Heat a skillet over medium heat; coat with cooking spray.', 'Whisk egg whites, salt, and black pepper together in a bowl; pour into the skillet and swirl until eggs cover entire bottom of skillet. Cook for 1 to 2 minutes.', 'Arrange tomatoes, spinach, and feta cheese in center of eggs. Cook until edges of eggs begin to curl up, 2 to 3 minutes more. Loosen omelet from skillet using a spatula and fold in half; continue cooking until cheese melted, 2 to 3 minutes.']","{'Calories': '121', 'Fat': '4g', 'Carbs': '7g', 'Protein': '15g'}"
Egg Custard,4.7,6,1 hr 10 mins,"['2 cups milk', '2 large eggs, beaten', '½ cup white sugar', '1 pinch salt', '1 dash vanilla extract', '1 pinch ground nutmeg (Optional)']",This homemade egg custard is one of my favorite things to make when I need a pick-me-up. It's sweet and so comforting. You can make this recipe in custard cups or one casserole bowl.,"['Gather all ingredients. Preheat the oven to 325 degrees F (165 degrees C).', 'Whisk milk, eggs, sugar, salt, and vanilla together in a bowl until completely combined. Pour egg mixture into 6 custard cups; sprinkle tops with nutmeg.', 'Place cups in a baking pan and fill the pan with enough hot water to reach halfway up the sides of the custard cups.', 'Bake in the preheated oven until a knife inserted into the custard comes out clean and the custards are set, about 1 hour. Cool completely before serving.']","{'Calories': '130', 'Fat': '3g', 'Carbs': '21g', 'Protein': '5g'}"
